latitude,longitude,local_government_area,year,severity,speed_limit,intersection,road_position_horizontal,road_wet,weather,crash_type,lighting,traffic_controls,casualties,fatalities,serious_injuries,minor_injuries,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram
-36.94533833,174.8451321,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.90850932,174.8388009,Auckland,2018,property_damage,50,TRUE,straight,,,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.90850932,174.8388009,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.79245911,175.2879824,Hamilton City,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.79245911,175.2879824,Hamilton City,2018,property_damage,50,TRUE,curved_view_open,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.79245911,175.2879824,Hamilton City,2018,property_damage,50,TRUE,straight,,rain,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.85075803,174.7749796,Auckland,2018,property_damage,50,FALSE,straight,,fine,,darkness_not_lit,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.6134172,174.6852507,Auckland,2018,property_damage,70,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.6134172,174.6852507,Auckland,2018,property_damage,80,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.6134172,174.6852507,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.80319487,175.300307,Hamilton City,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.80585491,175.26208,Hamilton City,2018,property_damage,60,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.78707512,175.2793683,Hamilton City,2018,property_damage,50,FALSE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75149027,175.2806931,Hamilton City,2018,property_damage,50,TRUE,straight,,rain,,dawn_dusk,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.97409576,174.8372327,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.97409576,174.8372327,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.00925897,174.8904063,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.00925897,174.8904063,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.85790872,174.7614495,Auckland,2018,property_damage,50,TRUE,straight,,fine,,dawn_dusk,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.85790872,174.7614495,Auckland,2018,property_damage,50,TRUE,straight,,fine,,dawn_dusk,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.97754962,174.8808476,Auckland,2018,property_damage,100,FALSE,straight,,rain,,daylight,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.77119318,174.7385565,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.84507278,174.7529681,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.96372111,174.9019266,Auckland,2018,property_damage,60,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.96372111,174.9019266,Auckland,2018,property_damage,80,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.96372111,174.9019266,Auckland,2018,property_damage,80,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
