latitude,longitude,local_government_area,statistical_area,crash_id,date_time_id,description_id,vehicles_id,casualties_id,year
-40.76795277,175.146679,Kapiti Coast District,564400,NZ662704,2018----,967043,2c,0c,2018
-35.9259859,173.8332746,Kaipara District,504501,NZ662707,2018----,967046,,0c,2018
-40.04036666,175.2662002,Rangitikei District,559230,NZ662709,2018----,967048,1c1i,0c,2018
-41.20589013,174.900244,Hutt City,569301,NZ662713,2018----,967052,2c,0c,2018
-43.54301834,172.6663445,Christchurch City,594200,NZ662715,2018----,967054,2c,0c,2018
-43.59137688,172.6415738,Christchurch City,591102,NZ662716,2018----,967055,1c1i,0c,2018
-42.83514718,172.7991335,Hurunui District,585506,NZ662717,2018----,967056,1f1i,0c,2018
-45.24121935,170.4442848,Waitaki District,601301,NZ662720,2018----,967059,1c1i,0c,2018
-37.79217144,175.2767882,Hamilton City,529700,NZ662723,2018----,967062,1mc2i,0c,2018
-44.77280118,170.5100847,Waitaki District,600831,NZ662724,2018----,967063,1c1o,0c,2018
-41.7810236,172.2735364,Tasman District,581842,NZ662725,2018----,967064,1T1i,0c,2018
-35.98192352,174.4496647,Whangarei District,501816,NZ662726,2018----,967065,1c,0c,2018
-42.35897028,173.6762905,Kaikoura District,581500,NZ662727,2018----,967066,,0c,2018
-40.62088753,175.287615,Horowhenua District,564210,NZ662728,2018----,967067,2c,0c,2018
-43.62835407,172.7365781,Christchurch City,596502,NZ662729,2018----,967068,1c,0c,2018
-39.54976741,176.8578235,Napier City,545631,NZ662733,2018----,967072,2c1o,0c,2018
-36.93111938,174.787126,Auckland,519820,NZ662735,2018----,967074,1c1T,0c,2018
-36.8729463,174.7654858,Auckland,518101,NZ662736,2018----,967075,1c1i,0c,2018
-36.81952034,174.7467907,Auckland,509800,NZ662738,2018----,967077,2c1i,0c,2018
-37.35080543,175.4126195,Hauraki District,533901,NZ662743,2018----,967082,1c1i,0c,2018
-35.6832375,174.2989069,Whangarei District,502101,NZ662748,2018----,967087,1x1o,0c,2018
-35.6832375,174.2989069,Whangarei District,502101,NZ673356,2018----,978014,2c,0c,2018
-35.81201023,174.080928,Kaipara District,504502,NZ662750,2018----,967089,1c,0c,2018
-38.42408725,175.8686439,South Waikato District,535262,NZ662751,2018----,967090,1c1i,0c,2018
-37.69929699,176.130251,Tauranga City,537302,NZ662753,2018----,967092,1c2i,0c,2018
-37.99148305,175.7669158,South Waikato District,535250,NZ662754,2018----,967093,1c1i,0c,2018
-37.97483391,175.7507072,South Waikato District,535250,NZ662755,2018----,967094,1c1i,0c,2018
-38.11941582,175.8249679,South Waikato District,535261,NZ662756,2018----,967095,1i,0c,2018
-37.63496691,176.1816915,Tauranga City,536810,NZ662757,2018----,967096,2c1i,0c,2018
-39.65511801,176.9048942,Hastings District,545750,NZ662761,2018----,967100,3c2i,0c,2018
-38.65684859,177.9950803,Gisborne District,544300,NZ662762,2018----,967101,2c,0c,2018
-41.13437549,174.8819396,Porirua City,571400,NZ662764,2018----,967103,2c2i,0c,2018
-41.14279593,173.0088537,Tasman District,581833,NZ662766,2018----,967105,1c1i,0c,2018
-41.11674703,174.9528752,Porirua City,565601,NZ662767,2018----,967106,1i,0c,2018
-36.89002325,174.6869478,Auckland,514801,NZ662768,2018----,967107,1c1i,0c,2018
-39.9903359,175.1628503,Wanganui District,558300,NZ662769,2018----,967108,1c2i,0c,2018
-39.94438329,175.5691412,Rangitikei District,559220,NZ662770,2018----,967109,1T1i,0c,2018
-37.52823436,175.9141861,Western Bay Of Plenty District,536614,NZ662771,2018----,967110,1c1i,0c,2018
-37.02739193,174.9653514,Auckland,523813,NZ662776,2018----,967115,1c1i,0c,2018
-36.97715927,174.8696153,Auckland,522202,NZ662777,2018----,967116,1f1i,0c,2018
-43.69544262,172.6292647,Christchurch City,597101,NZ662778,2018----,967117,1c2i,0c,2018
-40.29482234,175.7364557,Palmerston North City,560301,NZ662780,2018----,967119,1c2i,0c,2018
-37.96728185,176.3704067,Rotorua District,538820,NZ662781,2018----,967120,1c1i,0c,2018
-39.0581507,174.0793915,New Plymouth District,551800,NZ662782,2018----,967121,1c3i,0c,2018
-38.29531615,176.2472572,Rotorua District,538850,NZ662783,2018----,967122,1f1i,0c,2018
-41.10308822,173.0115874,Tasman District,584303,NZ662786,2018----,967125,3c,0c,2018
-45.86613854,170.4918225,Dunedin City,604010,NZ662788,2018----,967127,2c,0c,2018
-46.422538,168.38809,Invercargill City,611500,NZ662790,2018----,967129,1c2i,0c,2018
-43.53143653,172.5783913,Christchurch City,590200,NZ662791,2018----,967130,2c1i,0c,2018
-43.56411116,172.5779406,Christchurch City,587845,NZ662792,2018----,967131,2c,0c,2018
-37.78139281,175.3147429,Hamilton City,530500,NZ662794,2018----,967133,2c1i,0c,2018
-45.36100856,167.7585504,Southland District,612714,NZ662797,2018----,967136,1i,0c,2018
-37.74659692,175.2450442,Hamilton City,528310,NZ662800,2018----,967139,4c,0c,2018
-42.96961005,172.7059297,Hurunui District,585700,NZ662801,2018----,967140,1c1i,0c,2018
-36.8329504,175.7079913,Thames-Coromandel District,533000,NZ662803,2018----,967142,2c1i,0c,2018
-36.89545644,174.8826348,Auckland,522810,NZ662804,2018----,967143,2c,0c,2018
-38.62261412,176.0331184,Taupo District,541332,NZ662806,2018----,967145,1c1i,0c,2018
-44.73805495,170.9830944,Waimate District,600410,NZ662809,2018----,967148,1c1i,0c,2018
-43.57188384,172.7586577,Christchurch City,596200,NZ662810,2018----,967149,1f2i,0c,2018
-43.84449256,171.8383181,Ashburton District,597730,NZ662811,2018----,967150,1f1T,0c,2018
-36.86722443,174.7684054,Auckland,514302,NZ662812,2018----,967151,1c1B,0c,2018
-37.18600117,174.8660562,Auckland,521112,NZ662813,2018----,967152,1T1n,0c,2018
-44.79643296,171.0967837,Waimate District,600410,NZ662817,2018----,967156,1c1i,0c,2018
-43.52541059,172.3065259,Selwyn District,587010,NZ662818,2018----,967157,1c1i,0c,2018
-41.75916258,171.6051504,Buller District,584500,NZ662820,2018----,967159,1i,0c,2018
-41.84184958,171.712046,Buller District,584410,NZ662821,2018----,967160,1f1i,0c,2018
-39.06730285,174.0650128,New Plymouth District,551700,NZ662822,2018----,967161,1c2i,0c,2018
-39.66725303,174.4490472,South Taranaki District,554400,NZ662823,2018----,967162,1c1i,0c,2018
-40.04634894,176.2490715,Tararua District,549800,NZ662826,2018----,967165,1c1i,0c,2018
-35.71447844,174.3227502,Whangarei District,502800,NZ662827,2018----,967166,1f1p,0c,2018
-36.91546717,174.8893565,Auckland,523000,NZ662831,2018----,967170,2f,0c,2018
-36.96747135,174.8389605,Auckland,524301,NZ662832,2018----,967171,3c1i,0c,2018
-38.276043,176.3377909,Rotorua District,538832,NZ662833,2018----,967172,1mc1i,0c,2018
-46.40968888,168.3414438,Invercargill City,611300,NZ662835,2018----,967174,3c2i,0c,2018
-40.91888533,175.0050227,Kapiti Coast District,566000,NZ662836,2018----,967175,2c,0c,2018
-37.80826795,175.2883,Hamilton City,530400,NZ662837,2018----,967176,2c,0c,2018
-41.13368311,174.8774522,Porirua City,571400,NZ662839,2018----,967178,2c1i,0c,2018
-44.69663578,169.1628798,Queenstown-Lakes District,608800,NZ662840,2018----,967179,1c,0c,2018
-36.87255322,174.7616063,Auckland,518101,NZ662842,2018----,967181,2c1i,0c,2018
-36.85819801,174.8439767,Auckland,516601,NZ662845,2018----,967184,1c1f1i,0c,2018
-36.79984298,174.7505243,Auckland,509702,NZ662846,2018----,967185,5c1i,0c,2018
-36.91651317,174.8323815,Auckland,520500,NZ662848,2018----,967187,1c1T1i,0c,2018
-36.91651317,174.8323815,Auckland,520500,NZ669530,2018----,975188,1c1f,0c,2018
-36.98380404,174.8837317,Auckland,523722,NZ662851,2018----,967190,1c2i,0c,2018
-36.79652816,174.7595383,Auckland,509702,NZ662852,2018----,967191,1c1T,0c,2018
-36.77414524,174.6741525,Auckland,509100,NZ662853,2018----,967192,1c2i,0c,2018
